X,Y,Z,X_r,Y_r,Z_r,G_x,G_y,G_z,dip,azimuth,polarity,surface,series,id,order_series,smooth
2674951.9816695,1259760.40858502,-901.7762625558,0.7491210636,0.6167796735,0.5000589258,0.0569443238,-0.0571410726,0.9967408097,4.6271173245,135.0988107912,1,mesozoic,Post_graben_series,3,3,0.01
2676344.50505188,1256711.8989802,-1185.2048339844,0.7493808434,0.6162109641,0.5000060513,0.0344620195,-0.0528819355,0.9980059469,3.61891331,146.9085779635,1,mesozoic,Post_graben_series,3,3,0.01
2650516.79015157,1264288.20758056,-54,0.7445625985,0.6176243493,0.5002170813,-0.1014598513,0.4004901206,0.9106665481,24.4023733463,345.7838300553,1,mesozoic,Post_graben_series,3,3,0.01
2652130.71988049,1261246.78303272,-346.2857142857,0.7448636824,0.6170569616,0.5001625544,-0.0829521502,0.3619669427,0.9284927965,21.7989246778,347.0923819034,1,mesozoic,Post_graben_series,3,3,0.01
2654454.77869013,1256867.13168384,-514.5714285714,0.7452972432,0.6162399232,0.5001311602,0.1408795536,-0.3765480237,0.9156224862,23.7057164378,159.4874499443,1,mesozoic,Post_graben_series,3,3,0.01
2655100.3505817,1255650.5618647,-434.8571428571,0.7454176768,0.6160129682,0.5001460311,0.1419287579,-0.0188040129,0.9896982554,8.231264512,97.5471118091,1,mesozoic,Post_graben_series,3,3,0.01
2648155.49103164,1260565.16857298,-358.685660226,0.7441220904,0.6169298041,0.5001602412,0.0426143735,0.0468550062,0.9979922963,3.63128322,42.2863491711,1,mesozoic,Post_graben_series,3,3,0.01
2651691.06999278,1261441.29454374,-367.5428030831,0.7447816643,0.6170932483,0.5001585889,-0.0829521502,0.3619669427,0.9284927965,21.7989246778,347.0923819034,1,mesozoic,Post_graben_series,3,3,0.01
2659165.01539165,1263293.35830472,-482.685660226,0.7461759533,0.6174387569,0.5001371086,0.0686147334,-0.0278927877,0.997253233,4.2476429046,112.122386,1,mesozoic,Post_graben_series,3,3,0.01
2665341.09003263,1264823.80620302,-571.2570887974,0.7473281203,0.617724267,0.5001205853,0.0466378274,-0.1035673393,0.993528419,6.5219478179,155.7572931016,1,mesozoic,Post_graben_series,3,3,0.01
2671427.65497969,1266332.07335855,-580.1142316546,0.7484635889,0.6180056391,0.500118933,0.0542871148,0.0370280701,0.9978385797,3.7677796468,55.7029451241,1,mesozoic,Post_graben_series,3,3,0.01
2675142.25059709,1267252.56013796,-597.8285173689,0.7491565589,0.618177359,0.5001156283,0.060129651,0.0565694125,0.9965863368,4.735562681,46.7474295138,1,mesozoic,Post_graben_series,3,3,0.01
2671726.81115435,1266820.94589239,291.4285714286,0.7485193975,0.6180968399,0.5002815221,0.1632440543,-0.1446385395,0.9759257511,12.5976387648,131.5417899968,1,tertiary,Post_graben_series,4,3,0.01
2672794.65291907,1264483.22868248,43.4285714286,0.7487186069,0.6176607311,0.5002352569,0.2304340662,-0.2538637513,0.9393898748,20.0506549906,137.7697341963,1,tertiary,Post_graben_series,4,3,0.01
2673270.85262496,1263440.73316995,25.7142857143,0.7488074435,0.6174662502,0.5002319523,0.0238667467,-0.0430188098,0.9987891471,2.8198574338,150.9785773376,1,tertiary,Post_graben_series,4,3,0.01
2674951.9816695,1259760.40858502,194,0.7491210636,0.6167796735,0.5002633465,-0.1777751977,0.6553779269,0.7340815704,42.7703331249,344.8233720626,1,tertiary,Post_graben_series,4,3,0.01
2675464.25711069,1258638.93613973,-0.8571428571,0.7492166303,0.6165704592,0.5002269953,-0.2568334947,0.1014264326,0.9611187412,16.0296886739,291.5496203427,1,tertiary,Post_graben_series,4,3,0.01
2675853.87505187,1257785.98526584,-257.7142857143,0.7492893148,0.6164113384,0.5001790777,-0.3660093498,-0.2605998491,0.893378349,26.6991123804,234.5490101049,1,tertiary,Post_graben_series,4,3,0.01
2659503.15048817,1247353.55644074,-299.4905482701,0.7462390335,0.6144651346,0.5001712842,0.0865972586,0.0188121965,0.9960657689,5.0840527566,77.7436257128,1,tertiary,Post_graben_series,4,3,0.01
2640432.96465227,1245248.67916755,326.5618416922,0.7426814278,0.6140724628,0.5002880763,0.1001061279,-0.4515713899,0.8866014003,27.5507610272,167.500585225,1,tertiary,Post_graben_series,4,3,0.01
2642153.95944454,1240465.0060873,-98.5810154506,0.743002485,0.6131800529,0.5002087646,0.1034312793,-0.6041851956,0.7901026642,37.8048933477,170.2856257275,1,tertiary,Post_graben_series,4,3,0.01
2672770.27990165,1266664.77942339,318,0.74871406,0.6180677066,0.5002864791,0.1632440543,-0.1446385395,0.9759257511,12.5976387648,131.5417899968,1,tertiary,Post_graben_series,4,3,0.01
2676440.12135498,1267574.17600064,220.5714285714,0.749398681,0.6182373575,0.5002683035,-0.0037932657,0.0630322061,0.9980042846,3.6204219211,356.5561047787,1,tertiary,Post_graben_series,4,3,0.01
2679886.19198799,1268428.12156708,211.7142857143,0.7500415567,0.6183966638,0.5002666512,0.1901880489,-0.1997040599,0.9612215117,16.0083508407,136.3981279347,1,tertiary,Post_graben_series,4,3,0.01
2670904.28438963,1268621.61995949,-1745.7142857143,0.7483659524,0.6184327616,0.4999014864,0.0396223797,-0.0469175917,0.9981126222,3.5207515613,139.8185705228,1,graben_fill,Graben_series,5,4,0.01
2671582.50821317,1267136.85362346,-1843.1428571429,0.7484924773,0.6181557735,0.4998833108,0.0386605819,-0.0486182351,0.9980689488,3.5612661614,141.5087408574,1,graben_fill,Graben_series,5,4,0.01
2674663.37578714,1260392.22404716,-2064.5714285714,0.7490672233,0.6168975408,0.4998420026,0.034489057,-0.0069079527,0.9993812011,2.0157412813,101.3261310369,1,graben_fill,Graben_series,5,4,0.01
2668831.91346392,1265688.84163317,-2039.623953683,0.7479793448,0.6178856422,0.4998466566,0.039212314,-0.0376770849,0.9985203211,3.1172736791,133.8561432634,1,graben_fill,Graben_series,5,4,0.01
2671338.14665156,1266309.89295422,-1942.1953822545,0.7484468909,0.6180015013,0.4998648322,0.0393391143,-0.0411452903,0.9983784348,3.2633491015,136.285576943,1,graben_fill,Graben_series,5,4,0.01
2674023.39649547,1266975.30508392,-1676.4810965402,0.748947833,0.6181256361,0.4999144021,0.0289155061,-0.0771604342,0.9965992981,4.7265588236,159.4567524929,1,graben_fill,Graben_series,5,4,0.01
2676216.35053466,1267518.72498983,-1968.7668108259,0.7493569358,0.6182270129,0.4998598753,0.8163716484,0.4205550916,0.3958165568,66.6830896488,62.7446716251,1,graben_fill,Graben_series,5,4,0.01
